Date,Open,High,Low,Close,Adj Close,Volume,Date,Year,Month,Day
02-01-2020,9903.25,9984.400391,9901.400391,9980,9979.987305,13807300,02-01-2020,2020,1,2
03-01-2020,9966.799805,9976.75,9913.599609,9941.650391,9941.637695,13777400,03-01-2020,2020,1,3
06-01-2020,9896.450195,9901.599609,9731.849609,9747.400391,9747.387695,13305200,06-01-2020,2020,1,6
07-01-2020,9814.450195,9883.450195,9765.5,9805.400391,9805.387695,12705200,07-01-2020,2020,1,7
08-01-2020,9708.700195,9798.25,9700.349609,9792.200195,9792.1875,15446700,08-01-2020,2020,1,8
09-01-2020,9894.049805,9951.200195,9882.150391,9943.900391,9943.887695,16682300,09-01-2020,2020,1,9
10-01-2020,9985,10023.15039,9947.349609,9978,9977.987305,16223200,10-01-2020,2020,1,10
13-01-2020,10012.7998,10046.4502,10006.25,10042.5,10042.4873,12975600,13-01-2020,2020,1,13
14-01-2020,10051.2002,10083.84961,10032.84961,10075.84961,10075.83594,13984000,14-01-2020,2020,1,14
15-01-2020,10070,10095.9502,10030.9502,10087.0498,10087.03613,17406900,15-01-2020,2020,1,15
16-01-2020,10099.9502,10132.15039,10076.59961,10110.0498,10110.03613,13973900,16-01-2020,2020,1,16
17-01-2020,10096.40039,10138.4502,10089.5,10118.7002,10118.68652,22525300,17-01-2020,2020,1,17
20-01-2020,10174.9502,10174.9502,10019.0498,10025.7002,10025.6875,15704800,20-01-2020,2020,1,20
21-01-2020,10001.84961,10033.2998,9977.700195,9987.549805,9987.537109,17900,21-01-2020,2020,1,21
22-01-2020,10029.5498,10034.0498,9935,9947,9946.987305,16000,22-01-2020,2020,1,22
23-01-2020,9961.799805,10027.7998,9944.099609,10021.40039,10021.3877,23475300,23-01-2020,2020,1,23
24-01-2020,10019.9502,10101.25,9999.25,10083.7002,10083.68652,15534900,24-01-2020,2020,1,24
27-01-2020,10046.4502,10077.4502,9989.549805,9999.599609,9999.586914,12548200,27-01-2020,2020,1,27
28-01-2020,10023.5,10041.0498,9934.200195,9956.950195,9956.9375,15245400,28-01-2020,2020,1,28
29-01-2020,10006.9502,10039.0498,9990.200195,10009.2998,10009.28711,14210700,29-01-2020,2020,1,29
30-01-2020,10025.34961,10026.90039,9902.299805,9919.200195,9919.1875,15760600,30-01-2020,2020,1,30
31-01-2020,9968.400391,9971.200195,9849.25,9861.450195,9861.4375,16760200,31-01-2020,2020,1,31
03-02-2020,9578.5,9682.650391,9559.849609,9650.549805,9650.537109,15170600,03-02-2020,2020,2,3
04-02-2020,9711.950195,9858.650391,9711.099609,9853.049805,9853.037109,14763000,04-02-2020,2020,2,4
05-02-2020,9880.150391,9955.900391,9847.049805,9951.349609,9951.336914,16625300,05-02-2020,2020,2,5
06-02-2020,9979.650391,10022.5,9953.200195,10004.2002,10004.1875,15840900,06-02-2020,2020,2,6
07-02-2020,10019.4502,10021.7002,9974.549805,10000.75,10000.7373,13516900,07-02-2020,2020,2,7
10-02-2020,10008.75,10008.75,9917.650391,9945.650391,9945.637695,12720800,10-02-2020,2020,2,10
11-02-2020,10004.0498,10044.15039,9979.599609,9987.049805,9987.037109,12801700,11-02-2020,2020,2,11
12-02-2020,10020.59961,10067.7002,10015.84961,10037.09961,10037.08691,15152000,12-02-2020,2020,2,12
13-02-2020,10049.84961,10053.2002,9990.349609,10017.75,10017.7373,12807500,13-02-2020,2020,2,13
14-02-2020,10031.25,10071.7002,9947.650391,9961.049805,9961.037109,26840400,14-02-2020,2020,2,14
17-02-2020,9976.150391,9990.75,9884.950195,9891,9890.987305,0,17-02-2020,2020,2,17
18-02-2020,9876.700195,9877.599609,9768.450195,9845.549805,9845.537109,21250600,18-02-2020,2020,2,18
19-02-2020,9921.299805,9974.849609,9895.400391,9970.5,9970.487305,21953400,19-02-2020,2020,2,19
20-02-2020,9969.900391,10016.65039,9950.599609,9958.650391,9958.637695,23129000,20-02-2020,2020,2,20
24-02-2020,9904.5,9904.5,9745.549805,9758.200195,9758.1875,19233300,24-02-2020,2020,2,24
25-02-2020,9796.450195,9813.799805,9711.75,9724.700195,9724.6875,18377800,25-02-2020,2020,2,25
26-02-2020,9680.099609,9713.200195,9596.299805,9622.700195,9622.6875,16572100,26-02-2020,2020,2,26
27-02-2020,9612.400391,9613.5,9496.549805,9579.349609,9579.336914,17747000,27-02-2020,2020,2,27
28-02-2020,9372.700195,9374.849609,9214.099609,9236.049805,9236.038086,22528700,28-02-2020,2020,2,28
02-03-2020,9380.400391,9436.5,9105,9178.799805,9178.788086,18603000,02-03-2020,2020,3,2
03-03-2020,9251.400391,9348.549805,9201,9324.299805,9324.287109,18210600,03-03-2020,2020,3,3
04-03-2020,9362.900391,9368.549805,9125.450195,9258.25,9258.238281,18769300,04-03-2020,2020,3,4
05-03-2020,9305.549805,9365.549805,9250.049805,9280.150391,9280.138672,24994200,05-03-2020,2020,3,5
06-03-2020,8997.049805,9089.200195,8918.549805,9059.950195,9059.938477,29361700,06-03-2020,2020,3,6
09-03-2020,8862.700195,8870.150391,8520.950195,8631.349609,8631.337891,32066200,09-03-2020,2020,3,9
11-03-2020,8556.099609,8709.5,8555.799805,8618.049805,8618.038086,28714100,11-03-2020,2020,3,11
12-03-2020,8272.400391,8272.849609,7841.5,7901.350098,7901.339844,34715700,12-03-2020,2020,3,12
